epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.762,0.00692,2.87868,1.33458,0.15176,0.0538,0.01079,0.00832,0.00565,2.32752,1.19586,0.0668109,6.65113e-05,6.65113e-05
2,362.016,0.00686,2.63945,1.30524,0.20529,0.07325,0.03125,0.02428,0.00547,2.16408,1.18979,0.033542,0.000130961,0.000130961
3,545.081,0.00679,2.55289,1.30928,0.1981,0.08198,0.03697,0.02911,0.00563,2.04426,1.21078,0.00027089,0.00019319,0.00019319
4,727.357,0.00662,2.46388,1.28286,0.18338,0.10736,0.04752,0.03707,0.00561,1.97232,1.20413,0.00019001,0.00019001,0.00019001
5,909.186,0.00665,2.42523,1.29054,0.15021,0.10409,0.05306,0.04093,0.00526,1.95255,1.17554,0.00018668,0.00018668,0.00018668
6,1091.25,0.00649,2.36966,1.2729,0.19013,0.13302,0.0798,0.06509,0.00513,1.84912,1.15825,0.00018335,0.00018335,0.00018335
7,1273.06,0.00631,2.28628,1.25805,0.17643,0.16452,0.09616,0.0787,0.005,1.76457,1.14351,0.00018002,0.00018002,0.00018002
8,1454.84,0.00632,2.24109,1.26682,0.22288,0.15013,0.11744,0.09531,0.00503,1.73666,1.13271,0.00017669,0.00017669,0.00017669
9,1636.87,0.00625,2.19944,1.25061,0.25515,0.18829,0.13211,0.1079,0.00489,1.66076,1.11889,0.00017336,0.00017336,0.00017336
10,1818.58,0.00616,2.15903,1.2449,0.28812,0.18782,0.15016,0.1184,0.00488,1.62353,1.12263,0.00017003,0.00017003,0.00017003
11,2000.39,0.00612,2.1054,1.23936,0.27902,0.18965,0.15317,0.12266,0.005,1.60798,1.13005,0.0001667,0.0001667,0.0001667
12,2182.23,0.00607,2.05247,1.22926,0.29535,0.22672,0.18079,0.14463,0.00475,1.5619,1.10434,0.00016337,0.00016337,0.00016337
13,2364.16,0.00603,2.02006,1.23471,0.314,0.21659,0.18745,0.14902,0.00495,1.54538,1.1309,0.00016004,0.00016004,0.00016004
14,2546.09,0.00589,1.98319,1.21764,0.38833,0.20728,0.20725,0.1704,0.00465,1.4867,1.0919,0.00015671,0.00015671,0.00015671
15,2727.85,0.0058,1.93539,1.20825,0.31447,0.24981,0.22138,0.1803,0.00473,1.43878,1.1056,0.00015338,0.00015338,0.00015338
16,2910.44,0.00584,1.90616,1.20768,0.36962,0.24573,0.2328,0.18681,0.00469,1.43896,1.09366,0.00015005,0.00015005,0.00015005
17,3092.81,0.00575,1.8691,1.20236,0.39324,0.2649,0.24183,0.19403,0.0048,1.38471,1.10454,0.00014672,0.00014672,0.00014672
18,3274.46,0.0057,1.82609,1.19861,0.37534,0.27624,0.25894,0.21349,0.00465,1.3747,1.08988,0.00014339,0.00014339,0.00014339
19,3456.64,0.00572,1.79565,1.20207,0.41112,0.28462,0.27768,0.23055,0.00461,1.34278,1.08607,0.00014006,0.00014006,0.00014006
20,3638.5,0.00571,1.76862,1.19699,0.36953,0.29744,0.28333,0.23311,0.00466,1.3199,1.09525,0.00013673,0.00013673,0.00013673
21,3820.1,0.00561,1.74224,1.18898,0.45931,0.30387,0.29615,0.24207,0.00467,1.30661,1.094,0.0001334,0.0001334,0.0001334
22,4002.12,0.00557,1.7183,1.18826,0.45443,0.29404,0.31542,0.25643,0.00465,1.28865,1.08466,0.00013007,0.00013007,0.00013007
23,4183.88,0.00557,1.67477,1.18758,0.45797,0.31229,0.32849,0.27057,0.0045,1.23246,1.07781,0.00012674,0.00012674,0.00012674
24,4365.9,0.00561,1.62245,1.17568,0.45284,0.30558,0.32655,0.2703,0.0045,1.22497,1.0708,0.00012341,0.00012341,0.00012341
25,4545.85,0.00543,1.59714,1.16644,0.53923,0.30912,0.3505,0.29067,0.00457,1.18432,1.07631,0.00012008,0.00012008,0.00012008
26,4727.45,0.00538,1.58992,1.16548,0.4647,0.35359,0.3502,0.2919,0.00439,1.17976,1.05577,0.00011675,0.00011675,0.00011675
27,4909.7,0.00549,1.56199,1.173,0.47616,0.34162,0.35922,0.29993,0.00443,1.17973,1.05978,0.00011342,0.00011342,0.00011342
28,5091.64,0.00537,1.55625,1.16616,0.49476,0.36996,0.39353,0.32845,0.0044,1.12542,1.05663,0.00011009,0.00011009,0.00011009
29,5273.49,0.00535,1.52099,1.16368,0.48603,0.36077,0.39059,0.32446,0.00439,1.12688,1.05751,0.00010676,0.00010676,0.00010676
30,5453.42,0.00528,1.48967,1.15196,0.54775,0.36522,0.40608,0.34004,0.00433,1.09568,1.04697,0.00010343,0.00010343,0.00010343
31,5635.09,0.00532,1.46538,1.15346,0.56049,0.3564,0.41366,0.34579,0.00436,1.06533,1.05276,0.0001001,0.0001001,0.0001001
32,5816.92,0.00528,1.43745,1.14869,0.54569,0.39283,0.42525,0.35495,0.00433,1.0427,1.05048,9.677e-05,9.677e-05,9.677e-05
33,5998.79,0.00519,1.40038,1.14216,0.49177,0.42533,0.42987,0.35849,0.00424,1.03669,1.0434,9.344e-05,9.344e-05,9.344e-05
34,6180.91,0.0052,1.39561,1.14575,0.53553,0.40487,0.43793,0.36675,0.00432,1.02679,1.05259,9.011e-05,9.011e-05,9.011e-05
35,6362.56,0.00508,1.35651,1.13054,0.50596,0.42621,0.44485,0.37199,0.00428,1.01037,1.04103,8.678e-05,8.678e-05,8.678e-05
36,6544.09,0.00504,1.32762,1.12781,0.54453,0.40788,0.45021,0.37433,0.00427,0.9976,1.04235,8.345e-05,8.345e-05,8.345e-05
37,6726.41,0.0051,1.32842,1.12862,0.57284,0.42245,0.46266,0.38827,0.00427,0.99195,1.03806,8.012e-05,8.012e-05,8.012e-05
