epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.123,0.00617,2.37111,1.25705,0.32637,0.10608,0.03266,0.02471,0.00581,2.01399,1.16368,0.0668109,6.65113e-05,6.65113e-05
2,255.875,0.00569,1.9214,1.17834,0.30435,0.11916,0.05203,0.04041,0.00641,1.82489,1.21495,0.0335416,0.000130517,0.000130517
3,384.165,0.00539,1.74224,1.13832,0.25655,0.16605,0.07348,0.05578,0.00577,1.71754,1.15259,0.000269559,0.000191859,0.000191859
4,512.132,0.00489,1.59312,1.07998,0.26763,0.19963,0.11259,0.08671,0.00576,1.61167,1.13719,0.000188012,0.000188012,0.000188012
5,640.235,0.00436,1.44368,1.02143,0.17221,0.22164,0.12598,0.09885,0.00556,1.55137,1.12963,0.000184016,0.000184016,0.000184016
6,768.194,0.00402,1.30976,0.98776,0.19477,0.24816,0.14989,0.1209,0.00558,1.49353,1.1429,0.00018002,0.00018002,0.00018002
7,896.826,0.00365,1.18069,0.94697,0.28757,0.22467,0.16526,0.13389,0.00523,1.50933,1.11301,0.000176024,0.000176024,0.000176024
8,1025.13,0.0034,1.02582,0.91993,0.29287,0.25023,0.20312,0.16438,0.00533,1.44801,1.12688,0.000172028,0.000172028,0.000172028
9,1153.71,0.00327,0.89895,0.90758,0.24092,0.27022,0.20704,0.17166,0.00528,1.42054,1.12555,0.000168032,0.000168032,0.000168032
10,1281.7,0.00304,0.77987,0.88781,0.28175,0.26158,0.2139,0.17835,0.00525,1.50985,1.15092,0.000164036,0.000164036,0.000164036
11,1409.69,0.00289,0.67226,0.87495,0.27097,0.25984,0.22237,0.1825,0.00519,1.48801,1.14076,0.00016004,0.00016004,0.00016004
12,1537.66,0.00278,0.56455,0.86699,0.27889,0.26904,0.22865,0.19078,0.0053,1.55471,1.167,0.000156044,0.000156044,0.000156044
13,1665.85,0.00266,0.4815,0.85781,0.2995,0.28978,0.2465,0.20558,0.00521,1.53545,1.16358,0.000152048,0.000152048,0.000152048
14,1793.75,0.00251,0.41989,0.84839,0.32278,0.27725,0.25032,0.20734,0.00511,1.54992,1.14412,0.000148052,0.000148052,0.000148052
15,1921.74,0.00245,0.37266,0.84326,0.33993,0.28733,0.26761,0.2242,0.0052,1.54011,1.17048,0.000144056,0.000144056,0.000144056
16,2050.2,0.00239,0.32943,0.84154,0.30752,0.28579,0.2578,0.21275,0.00526,1.57289,1.17562,0.00014006,0.00014006,0.00014006
17,2176.64,0.00229,0.29891,0.83151,0.29393,0.28636,0.25619,0.21536,0.00506,1.60184,1.16374,0.000136064,0.000136064,0.000136064
18,2303.23,0.0022,0.27965,0.82901,0.35046,0.28261,0.27034,0.22704,0.00514,1.59079,1.1796,0.000132068,0.000132068,0.000132068
19,2431.46,0.00215,0.25576,0.82586,0.3187,0.3078,0.28214,0.2339,0.00516,1.5917,1.18339,0.000128072,0.000128072,0.000128072
20,2559.77,0.00204,0.23933,0.81915,0.33717,0.28767,0.27887,0.23546,0.00508,1.57164,1.18673,0.000124076,0.000124076,0.000124076
21,2688.28,0.00198,0.22668,0.81669,0.38978,0.26912,0.28282,0.24153,0.00504,1.55978,1.18385,0.00012008,0.00012008,0.00012008
22,2817.07,0.00193,0.21423,0.81447,0.32128,0.2937,0.28517,0.23973,0.00507,1.55943,1.18119,0.000116084,0.000116084,0.000116084
23,2943.66,0.00185,0.20196,0.80943,0.35639,0.30072,0.29561,0.25012,0.00507,1.57714,1.1928,0.000112088,0.000112088,0.000112088
24,3072.14,0.00177,0.19163,0.80674,0.36359,0.2918,0.29465,0.24913,0.00501,1.58776,1.19409,0.000108092,0.000108092,0.000108092
25,3198.82,0.00173,0.1801,0.80459,0.33631,0.31681,0.29392,0.24634,0.00496,1.57381,1.19333,0.000104096,0.000104096,0.000104096
26,3325.29,0.00167,0.17304,0.80266,0.31321,0.31105,0.28566,0.24521,0.00491,1.62148,1.18476,0.0001001,0.0001001,0.0001001
27,3451.81,0.00162,0.1666,0.79991,0.33894,0.28687,0.28642,0.24638,0.00493,1.60305,1.19182,9.6104e-05,9.6104e-05,9.6104e-05
28,3581.39,0.00158,0.15936,0.79831,0.36616,0.29407,0.30363,0.25699,0.00488,1.58122,1.18113,9.2108e-05,9.2108e-05,9.2108e-05
29,3709.93,0.00152,0.15093,0.79534,0.3801,0.30327,0.30772,0.26015,0.00489,1.56805,1.19822,8.8112e-05,8.8112e-05,8.8112e-05
30,3838.39,0.00148,0.14593,0.79463,0.40509,0.29119,0.30976,0.26394,0.00481,1.54728,1.18692,8.4116e-05,8.4116e-05,8.4116e-05
31,3966.8,0.0014,0.13734,0.7911,0.39857,0.29587,0.30538,0.2602,0.00487,1.57898,1.21615,8.012e-05,8.012e-05,8.012e-05
32,4093.76,0.00134,0.1311,0.78875,0.37134,0.2959,0.30038,0.25414,0.00486,1.5758,1.21463,7.6124e-05,7.6124e-05,7.6124e-05
33,4220.92,0.00129,0.12617,0.78843,0.40679,0.29864,0.30109,0.25576,0.0048,1.60543,1.21014,7.2128e-05,7.2128e-05,7.2128e-05
34,4347.66,0.0013,0.12434,0.78806,0.41385,0.28099,0.3044,0.2602,0.0048,1.59385,1.19782,6.8132e-05,6.8132e-05,6.8132e-05
35,4476.02,0.00123,0.11693,0.78634,0.39505,0.30357,0.31491,0.26769,0.00477,1.57088,1.2068,6.4136e-05,6.4136e-05,6.4136e-05
